    id  size  #exact    ago(h)
  4390  2373       0         9
  4679  1174       0         9
  4687  1198       0         9
  4970  2670       0         9
  5068  1770       0         9
  5175  2285       0         9
  5195  4981       0         9
  5236   521       0         9
  5276  1864       0         9
  5302   799       0         9
  3719   842       0         8
  4039  3472       0         8
  4220  4134       0         8
  4302  1666       0         8
  4391  2412       0         8
  4423  1960       0         8
  4685   941       0         8
  4688  1749       0         8
  4975  2309       0         8
  5047  1571       0         8
  5113  3652       0         8
  5192  1630       0         8
  5260  1410       0         8
  5332   746       0         8
  5337  1766       0         8
  3721   806       0         7
  3985   767       0         7
  4040  3471       0         7
  4117   297       0         7
  4304  1474       0         7
  4368  1922       0         7
  4392  2937       0         7
  4424  2029       0         7
  4694  1329       0         7
  4989  2874       0         7
  5022  1197       0         7
  5048  2161       0         7
  5072  1278       0         7
  5140  2780       0         7
  5199  4981       0         7
  5208  3067       0         7
  5333   691       0         7
  5372   372       0         7
  5408  1610       0         7
  5459  2837       0         7
  3722   812       0         6
  3875   341       0         6
  3989  3244       0         6
  4305   928       0         6
  4393  3017       0         6
  4425  2168       0         6
  4698  2058       0         6
  5074  1489       0         6
  5112  2978       0         6
  5234  2168       0         6
  5339   772       0         6
  5375   970       0         6
  5460  1146       0         6
  5492  2047       0         6
  5526  1554       0         6
  5533   920       0         6
  3723   807       0         5
  3992  1217       0         5
  4042  3455       0         5
  4119   286       0         5
  4250  2025       0         5
  4306  2831       0         5
  4380  1707       0         5
  4394  2153       0         5
  4700  1383       0         5
  4976  1021       0         5
  5083   919       0         5
  5108  1617       0         5
  5115  2339       0         5
  5168  2242       0         5
  5204  4981       0         5
  5347  1207       0         5
  5371   325       0         5
  5570  2574       0         5
  5571  1207       0         5
  5575  3438       0         5
  5583  1416       0         5
  5591  2080       0         5
  5599   853       0         5
  3724   842       0         4
  4043  3206       0         4
  4395  2451       0         4
  4702  1768       0         4
  4719   586       0         4
  4981   656       0         4
  5053  1757       0         4
  5084   945       0         4
  5121  1219       0         4
  5348  1183       0         4
  5507   668       0         4
  5576  1103       0         4
  5603   695       0         4
  5613  2143       0         4
  5617   923       0         4
  5648  2352       0         4
  5654   485       0         4
  5672  1347       0         4
  5688  2966       0         4
  5737  2488       0         4
  1744   571       0         3
  3725   776       0         3
  4396  1961       0         3
  4704  1445       0         3
  4722   788       0         3
  4986   772       0         3
  5054   939       0         3
  5132  3283       0         3
  5180  1617       0         3
  5351   901       0         3
  5514   542       0         3
  5565  1720       0         3
  5578  1087       0         3
  5607   903       0         3
  5614   898       0         3
  5619   991       0         3
  5636  1981       0         3
  5693  2536       0         3
  5724  4981       0         3
  5786  2230       0         3
  5799  2479       0         3
  5816  1892       0         3
  5830  3008       0         3
  3726   842       0         2
  4046  3395       0         2
  4398  1443       0         2
  4706  1700       0         2
  4724   657       0         2
  4992   923       0         2
  5086   825       0         2
  5134  1562       0         2
  5352  1202       0         2
  5532   586       0         2
  5580  2516       0         2
  5610   610       0         2
  5615  1023       0         2
  5620   952       0         2
  5640  2724       0         2
  5671   809       0         2
  5696  3309       0         2
  5805  2400       0         2
  5864  2544       0         2
  5874  2316       0         2
  5878  3054       0         2
  5879  2574       0         2
  5883  1029       0         2
  5887  1455       0         2
  1746   577       0         1
  4047  3343       0         1
  4399  2055       0         1
  4419  2411       0         1
  4710  1573       0         1
  4730   904       0         1
  4993  1104       0         1
  5056  2049       0         1
  5144  2610       0         1
  5380   953       0         1
  5535   608       0         1
  5582  1758       0         1
  5621   909       0         1
  5638   670       0         1
  5645  2980       0         1
  5703  4275       0         1
  5726  4981       0         1
  5860  2243       0         1
  5882  3212       0         1
  5888   582       0         1
  5912   211       0         1
  5914  2574       0         1
  5957   687       0         1
  5964  1029       0         1
   345    31       0         0
   990   447       0         0
  1283   813       0         0
  1339   143       0         0
  1416   662       0         0
  1747   564       0         0
  2058   235       0         0
  2303   572       0         0
  2607    78       0         0
  2699   866       0         0
  2795   475       0         0
  2940  1094       0         0
  3931  1848       0         0
  4048  3417       0         0
  4318  1582       0         0
  4400  2202       0         0
  4441   770       0         0
  4464   230       0         0
  4496  1582       0         0
  4562   251       0         0
  4623  2564       0         0
  4718  1548       0         0
  4723   858       0         0
  4731   661       0         0
  4803  2612       0         0
  4838   662       0         0
  4863  1624       0         0
  4953   104       0         0
  5006   323       0         0
  5014   494       0         0
  5058  1213       0         0
  5088   892       0         0
  5163  4627       0         0
  5194  1057       0         0
  5221   104       0         0
  5294    78       0         0
  5312   318       0         0
  5343   875       0         0
  5364  2091       0         0
  5381   963       0         0
  5449   152       0         0
  5489   276       0         0
  5498   764       0         0
  5515   361       0         0
  5531   493       0         0
  5585  1723       0         0
  5618   842       0         0
  5622   868       0         0
  5647  3678       0         0
  5717  3616       0         0
  5787   536       0         0
  5793  1569       0         0
  5815   748       0         0
  5829   480       0         0
  5865  2395       0         0
  5875  2215       0         0
  5884  1247       0         0
  5893  2498       0         0
  5900  3637       0         0
  5908  1127       0         0
  5910  1322       0         0
  5915  2574       0         0
  5919   342       0         0
  5932   189       0         0
  5935   380       0         0
  5956   817       0         0
  5960    97       0         0
  5974   211       0         0
  5978   784       0         0
  5979   487       0         0
  5982  1630       0         0
  5985   179       0         0
  5987  4981       0         0
  5989   338       0         0
  5999  1212       0         0
  6001  2891       0         0
  6002   685       0         0
  6011  4197       0         0
  6012   679       0         0
  6022  1116       0         0
  6030    34       0         0
  6031  2070       0         0
  6032   683       0         0
  6035   699       0         0
  6036   200       0         0
    24   619       1        63
    67  1825       1        63
    68  2472       1        63
    69  2997       1        63
    84   554       1        63
    87   848       1        63
    88   691       1        63
    91   678       1        63
   101  2945       1        63
   794   617       1        39
   676   297       1        38
   905  1865       1        38
  1097  4303       1        38
  1239  1702       1        37
  1241   334       1        36
  1368  1456       1        36
   679   290       1        35
  1367   935       1        35
  1406  1983       1        35
  1510   560       1        35
   680   290       1        34
  1843   855       1        34
  1875   847       1        33
  1489  1350       1        32
  1713   570       1        32
  1885   880       1        32
  2118   334       1        32
  1714   529       1        31
  1899  1515       1        31
  2209   211       1        31
  2215  1283       1        31
   684   290       1        30
  1715   536       1        30
  1945   924       1        30
   685   287       1        29
  1941   838       1        29
  1947  2163       1        29
  2250  3509       1        29
   686   287       1        28
  1717   567       1        28
  2333  1819       1        28
   687   292       1        27
   730  1538       1        27
  1718   521       1        27
  1965  1153       1        27
  2352  2403       1        27
   688   292       1        26
  1971  1261       1        26
  2672  1770       1        26
  2730  3304       1        26
   689   289       1        25
  1720   563       1        25
  1972  1172       1        25
  1721   561       1        24
  1973   955       1        24
  2816   334       1        24
  2969  1484       1        24
  1632  1961       1        23
  1722   537       1        23
  2817   334       1        23
  3073   488       1        23
  3179  1573       1        23
  1723   571       1        22
  1959   962       1        22
  2818   334       1        22
  3294  2249       1        22
  3344  1542       1        22
  3352  1973       1        22
  3406  2408       1        22
  1724   550       1        21
  2819   334       1        21
  3562  4519       1        21
  3578  1465       1        21
  3594  3290       1        21
  1725   596       1        20
  1963  1288       1        20
  3347  4014       1        20
  3734  1546       1        20
  3862   638       1        20
  1636  2711       1        19
  1726   536       1        19
  1984   879       1        19
  3342   257       1        19
  3634  1702       1        19
  3940  3166       1        19
   746  1141       1        18
  1727   583       1        18
  2883   241       1        18
  3857  1196       1        18
  3965  4995       1        18
  4079  3604       1        18
  4295   211       1        18
  1638  3862       1        17
  1728   542       1        17
  1989   669       1        17
  3368   289       1        17
  3767  1406       1        17
  3956   788       1        17
  4336   211       1        17
  4444   896       1        17
  1729   565       1        16
  3340  1873       1        16
  3410   347       1        16
  3638  1570       1        16
  3841  3478       1        16
  4337   211       1        16
  1730   538       1        15
  3954   815       1        15
  3959  1503       1        15
  4364   211       1        15
  1732   538       1        14
  3035   290       1        14
  3866  1612       1        14
  3996   330       1        14
  4234  4995       1        14
  4372   211       1        14
  4811  3291       1        14
  4906   892       1        14
  1733   569       1        13
  3036   287       1        13
  4026   527       1        13
  4409   211       1        13
  4972   844       1        13
  1734   551       1        12
  4237  4995       1        12
  4476   211       1        12
  4645   647       1        12
  4913  1619       1        12
  5103   840       1        12
  1735   581       1        11
  3038   292       1        11
  3885  1693       1        11
  4281  1103       1        11
  4570   211       1        11
  5104   808       1        11
  1736   524       1        10
  3039   292       1        10
  3646  1599       1        10
  4242  4995       1        10
  4601   211       1        10
  4933  1436       1        10
  5105   902       1        10
  5106   997       1        10
  5151  3248       1        10
  1737   549       1         9
  3040   289       1         9
  3683  1199       1         9
  3781   296       1         9
  4422  1191       1         9
  4708   211       1         9
  4965  1359       1         9
  5079   712       1         9
  1738   591       1         8
  3041   289       1         8
  3803   378       1         8
  3979  2279       1         8
  4784   211       1         8
  4922  1487       1         8
  5069   959       1         8
  5080   899       1         8
  5197  4995       1         8
  5272  1918       1         8
  1739   580       1         7
  4691   383       1         7
  4875   211       1         7
  4897   294       1         7
  4969  1339       1         7
  5081   853       1         7
  5411  1818       1         7
  1740   579       1         6
  4230  4483       1         6
  4905   211       1         6
  4973   609       1         6
  5050   483       1         6
  5082   858       1         6
  5107  1076       1         6
  5203  4995       1         6
  5414  3349       1         6
  1741   533       1         5
  4699   552       1         5
  5051   523       1         5
  5609   211       1         5
  1742   573       1         4
  5097   829       1         4
  5705  4995       1         4
  5746   211       1         4
  5770   480       1         4
  4044  3109       1         3
  5085   897       1         3
  5102   758       1         3
  5189   396       1         3
  5378   881       1         3
  5797   211       1         3
  5824  2475       1         3
  4415  2091       1         2
  5004   308       1         2
  5055   444       1         2
  5190   836       1         2
  5379   935       1         2
  5512   365       1         2
  5725  4995       1         2
  5833  2533       1         2
  5857   211       1         2
  1338   143       1         1
  2302   572       1         1
  4721   904       1         1
  5005   317       1         1
  5087   813       1         1
  5342  1060       1         1
  5401   184       1         1
  5785   721       1         1
  5817   931       1         1
  5843   230       1         1
    22   622       2        63
    61  1238       2        63
    72  3082       2        63
    89   535       2        63
   556   681       2        39
   675   297       2        39
   713  1715       2        38
  1021   631       2        37
  1237  2836       2        37
  1022   654       2        36
  1023   631       2        35
  1492  1533       2        35
   719   958       2        34
  1024   668       2        34
  1832   267       2        34
  1025   637       2        33
  1670  1070       2        33
  1026   664       2        32
  1842  1263       2        32
   724  1133       2        31
  1027   650       2        31
   555   681       2        30
  1028   676       2        30
  1933  1130       2        30
  1029   651       2        29
  1030   683       2        28
  2504   171       2        28
  1031   655       2        27
  2505   794       2        27
  2625   654       2        26
  1630  1055       2        25
  2626   650       2        25
  2627   666       2        24
  2712   317       2        24
  2903  1783       2        24
   737  1500       2        23
  2629   633       2        23
  2810  4487       2        23
   739  1045       2        22
  2630   679       2        22
  2836  2687       2        22
  3356   184       2        22
  1960   822       2        21
  1980   725       2        21
  2631   653       2        21
  3546  1594       2        21
  3583   165       2        21
  1982   815       2        20
  2844   285       2        20
  3281  1498       2        20
  3629  3326       2        20
  3873   184       2        20
  3293   968       2        19
  3735  4532       2        19
  4105   180       2        19
  3298  2058       2        18
  3351   257       2        18
  4285   578       2        18
  4287   281       2        18
  3303  1586       2        17
  1999   679       2        15
  3022  1227       2        15
  3194   412       2        15
  3345   676       2        15
  4567   243       2        15
  4832   294       2        15
  4919  1353       2        14
  2896   317       2        13
  3642  1627       2        13
  3691   835       2        13
  4813  1403       2        13
  4924  1004       2        13
  4977   453       2        13
  2898   305       2        12
  3274  1272       2        12
  4165   702       2        12
  5027   444       2        12
  5039   430       2        12
  4893   294       2        11
  4995   275       2        11
  5071   423       2        11
  5139   407       2        11
  5143  4102       2        11
  4652   437       2        10
  4996   332       2        10
  3647   951       2         9
  4895  1403       2         9
  4997   317       2         9
  5110  1566       2         9
  5154  4150       2         9
  5335   396       2         9
  4998   332       2         8
  5336   396       2         8
  4440   240       2         7
  4999   308       2         7
  5374  1017       2         7
  5417   396       2         7
  4678   956       2         6
  4697   514       2         6
  4797  2841       2         6
  5000   315       2         6
  5157  4537       2         6
  5418   396       2         6
  4251   684       2         5
  5376   774       2         5
  5419   396       2         5
  5135  2580       2         4
  5377   928       2         4
  5420   396       2         4
  5509   458       2         4
  5719   867       2         4
  4800  1790       2         3
  5160  4105       2         3
  5191  2033       2         3
  5421   396       2         3
  5510   266       2         3
  5573  1403       2         3
  5798  4440       2         3
  1337   143       2         2
  5341  1356       2         2
  5402   184       2         2
  5422   396       2         2
  5496  1283       2         2
  5782   397       2         2
  5783  1220       2         2
  4802  2730       2         1
  5162  4886       2         1
  5193   184       2         1
  5363  1779       2         1
  5488   266       2         1
  5513   448       2         1
  5530   426       2         1
  5641  1206       2         1
  5784  1129       2         1
  5814   906       2         1
  5890  4388       2         1
  5917   342       2         1
  5958  1091       2         1
  5967   928       2         1
    60  1305       3        63
    64  2132       3        63
    65  1950       3        63
    70  1796       3        63
    71  2360       3        63
    86  2000       3        63
  1020   628       3        38
   722  1270       3        32
  1952   602       3        28
  2330   173       3        28
  2527   171       3        26
  2530   171       3        25
  2666   176       3        24
  2796  4482       3        24
  2968  2675       3        24
  1977   982       3        23
  2718   205       3        23
  1979  1050       3        22
  3249  2691       3        22
  3397   982       3        22
  2779   188       3        20
  3632  1325       3        20
  3636  1131       3        18
  3637  1268       3        17
  3641  1382       3        14
  4073  1275       3        14
  3223   542       3        13
  5155  4704       3         8
  5600   759       3         5
  5444  4908       3         4
  2301   572       3         2
  4720   916       3         2
  5161  4860       3         2
  5851  3785       3         2
  5856   928       3         2
  5871  4481       3         2
  1282   813       3         1
  2698   866       3         1
  2798   442       3         1
  4319  1582       3         1
  4495  1582       3         1
  4954   104       3         1
  5324   106       3         1
  5945  3991       3         1
  5965   465       3         1
    28  2064       4        63
    32   509       4        63
    85  1015       4        63
   502   953       4        39
   519   264       4        38
   899   184       4        38
   612   681       4        36
  1460   562       4        36
   716  1322       4        35
   647  2746       4        34
   286  2669       4        33
   659  2746       4        33
   664  2746       4        32
  1942   572       4        32
  2225  4998       4        30
  2238   570       4        30
  1949   648       4        28
  1950  2048       4        27
  2548   306       4        27
  2455   151       4        26
  2668  4994       4        26
  2777  4994       4        25
  1956  1853       4        24
  2966  4994       4        24
  3180  4994       4        23
  2824   247       4        22
  3404  4994       4        22
  2755   668       4        21
  2839   270       4        21
  3178  1945       4        21
  3836  1170       4        20
  2797   233       4        19
  2868   284       4        19
  2872   846       4        19
  3973   477       4        19
  3949  4631       4        18
  3547   170       4        15
  3639  1070       4        15
  4638   942       4        15
  4774   427       4        15
  3549   231       4        14
  2290   572       4        13
  4286  1115       4        13
  4990   308       4        13
  2291   572       4        12
  4994   323       4        12
  5035  4120       4        12
  2292   572       4        11
  2900   640       4        11
  3757   184       4        11
  3964  3289       4        11
  4665   932       4        11
  5018  2562       4        11
  5038   245       4        11
  5043   315       4        11
  5152  4740       4        11
  2293   572       4        10
  3756   184       4        10
  3838   317       4        10
  4345   937       4        10
  4667   824       4        10
  5042   238       4        10
  5045   345       4        10
  5188   228       4        10
  5271   143       4        10
  2294   572       4         9
  3755   184       4         9
  3884   308       4         9
  4670   913       4         9
  5020  2621       4         9
  5044   274       4         9
  2295   572       4         8
  3754   184       4         8
  4366  1669       4         8
  4428   184       4         8
  4673   874       4         8
  5021   803       4         8
  5262   306       4         8
  5392   869       4         8
  2296   572       4         7
  4676   888       4         7
  5407   184       4         7
  2297   572       4         6
  5061   256       4         6
  5301   440       4         6
  5406   184       4         6
  5511   365       4         6
  2298   572       4         5
  4680   938       4         5
  5001   314       4         5
  5075   480       4         5
  5158  4824       4         5
  5186   217       4         5
  5476   384       4         5
  5508   430       4         5
  2299   572       4         4
  4411  1219       4         4
  5002   317       4         4
  2300   572       4         3
  4414  1769       4         3
  4713   902       4         3
  5003   323       4         3
  5745   266       4         3
  5781   878       4         3
  2697   866       4         2
  4801  2291       4         2
  5362  2128       4         2
  4621  2564       4         1
  4836   594       4         1
  5223   104       4         1
  5497   591       4         1
  5831   480       4         1
  5968   519       4         1
    51   612       5        63
    53   952       5        63
    66  1506       5        63
    93   425       5        63
    95   669       5        63
    96   534       5        63
    97   660       5        63
   613   176       5        37
  1167   222       5        37
  1390   250       5        36
  1453  1030       5        36
  1834  1945       5        34
  1938  1159       5        33
  1760   928       5        32
   674   884       5        31
  2210   447       5        31
  2226   240       5        30
   728  1084       5        29
  2404   183       5        29
  2466   846       5        29
   729   910       5        28
  2267  4998       5        28
  2467   881       5        28
  2496   215       5        28
  2521   413       5        28
  2414  4994       5        27
  2499  2255       5        27
  2526   171       5        27
   731  1019       5        26
  1953  1712       5        26
  2628   165       5        26
   732  1042       5        25
  2522   235       5        25
  2662   163       5        25
  2774   240       5        25
  2524   215       5        24
  2525   249       5        23
  3146  3003       5        23
  3188   246       5        23
  2731   224       5        22
  2751   640       5        22
  3130   215       5        22
  3409   292       5        22
  2736   290       5        21
  3139   203       5        21
  3346   474       5        21
  3607   290       5        21
   743  1113       5        20
  2737   290       5        20
  3141   221       5        20
  3746   184       5        20
  3788   302       5        20
  3824   230       5        20
  3865  4312       5        20
   744   686       5        19
  2265  4255       5        19
  3142   187       5        19
  3745   184       5        19
  3795   319       5        19
  2829   367       5        18
  3152   253       5        18
  3567   346       5        18
  3744   184       5        18
  3981   380       5        18
  3990  4946       5        18
  2895   861       5        17
  3153   261       5        17
  3568   341       5        17
  3763   184       5        17
  3807   320       5        17
  3984   474       5        17
  4088  4398       5        17
  2742   290       5        16
  2909   204       5        16
  3154   237       5        16
  3569   305       5        16
  3762   184       5        16
  3812   317       5        16
  3917  1179       5        16
  3958  3818       5        16
  3986   544       5        16
  2743   290       5        15
  3155   231       5        15
  3570   350       5        15
  3761   184       5        15
  3822   307       5        15
  3960  4131       5        15
  4656   938       5        15
  2744   290       5        14
  3157   215       5        14
  3571   302       5        14
  3760   184       5        14
  3828   309       5        14
  3961  4056       5        14
  4657   960       5        14
  2745   290       5        13
  3160   278       5        13
  3759   184       5        13
  3832   315       5        13
  3962  3570       5        13
  4602  4185       5        13
  4660   904       5        13
  4912   321       5        13
  2746   290       5        12
  3176   234       5        12
  3564   230       5        12
  3758   184       5        12
  3833   314       5        12
  3963  3612       5        12
  4663   880       5        12
  5017  1414       5        12
  5032   385       5        12
  2747   290       5        11
  3681   771       5        11
  3835   320       5        11
  4221  4614       5        11
  5101  1651       5        11
  2749   290       5        10
  4793  3270       5        10
  5019  1683       5        10
  5153  4766       5        10
  5267  4562       5        10
  5244   476       5         9
  5268  4442       5         9
  4579   413       5         8
  5373   803       5         8
  3969  3450       5         7
  4796  2656       5         7
  5057   257       5         7
  5156  4706       5         7
  5184   273       5         7
  5266   406       5         7
  5270  4233       5         7
  5357  2172       5         7
  2693   866       5         6
  3971  4611       5         6
  4898   268       5         6
  5185  1102       5         6
  5358  1784       5         6
  5486  1315       5         6
  3974  4474       5         5
  5064   264       5         5
  5405   184       5         5
  5493  1474       5         5
  1335   143       5         4
  4618  2564       5         4
  4682   932       5         4
  5159  4676       5         4
  5178  1102       5         4
  5404   184       5         4
  5742   233       5         4
  5777  4481       5         4
  1336   143       5         3
  2696   866       5         3
  2936   878       5         3
  4619  2564       5         3
  5361  2308       5         3
  5403   184       5         3
  5637  1496       5         3
  5723   240       5         3
  1745   553       5         2
  4320  1582       5         2
  4620  2564       5         2
  4955   104       5         2
  5485   256       5         2
  5838   390       5         2
  2938   747       5         1
  5448   158       5         1
  5916   685       5         1
    23   233       6        63
    31   609       6        63
    33   956       6        63
    52  1021       6        63
    59   986       6        63
   759   184       6        39
   107  1072       6        38
  1014   423       6        38
  1162   731       6        37
  1396   694       6        36
   630   884       6        35
  1229   188       6        35
  1397   694       6        35
   221   233       6        34
  1623   129       6        34
  1400   694       6        33
  2068   260       6        33
  2080  4108       6        32
  2088   173       6        32
  1943   390       6        31
  2196   230       6        31
  2200   168       6        30
  2240   290       6        30
  2275   572       6        30
   691   884       6        29
  2230   196       6        29
  2241   290       6        29
  2276   572       6        29
  2355   208       6        29
  2277   572       6        28
  2353   924       6        28
  2498  2255       6        28
  2513   290       6        28
  2537  4773       6        28
   524  4509       6        27
  2278   572       6        27
  2514   290       6        27
  2550   184       6        27
  2569  4797       6        27
  1595   983       6        26
  2279   572       6        26
  2354   746       6        26
  2500  2255       6        26
  2509   257       6        26
  2515   290       6        26
  2714  4829       6        26
  2280   572       6        25
  2501  2255       6        25
  2516   290       6        25
  2788   499       6        25
  2281   572       6        24
  2733   290       6        24
  2874  1373       6        24
  1958   689       6        23
  2282   572       6        23
  2734   290       6        23
  2875   468       6        23
  2283   572       6        22
  2735   290       6        22
  3312   513       6        22
  2284   572       6        21
  2750   198       6        21
  3143   413       6        21
  3201  2564       6        21
  3563   345       6        21
  3584   770       6        21
  2285   572       6        20
  3565   367       6        20
  2286   572       6        19
  2738   290       6        19
  3566   345       6        19
  3947  4573       6        19
  3953  1082       6        19
  2287   572       6        18
  2739   290       6        18
  3804   318       6        18
  2288   572       6        17
  2741   290       6        17
  3951  4661       6        17
  2289   572       6        16
  2888   213       6        16
  4381   248       6        16
  3860  1548       6        15
  4603  2564       6        15
  2893   199       6        14
  4382   147       6        14
  4606  2564       6        14
  4920   215       6        14
  2921  1206       6        13
  3559   171       6        13
  4607  2564       6        13
  4609  2564       6        12
  4791  3694       6        12
  4881   268       6        12
  4611  2564       6        11
  5040  1921       6        11
  3891   803       6        10
  4408   390       6        10
  4612  2564       6        10
  4894   268       6        10
  4931   607       6        10
  5240   393       6        10
  2690   866       6         9
  3101   143       6         9
  3904   968       6         9
  3967  3868       6         9
  4360  1370       6         9
  4410   244       6         9
  4613  2564       6         9
  4794  2897       6         9
  2691   866       6         8
  2929  1038       6         8
  3102   145       6         8
  3968  4632       6         8
  4614  2564       6         8
  4795  2323       6         8
  4824   676       6         8
  4896   268       6         8
  5249  4798       6         8
  4615  2564       6         7
   387   164       6         6
  1332   143       6         6
  4041  3675       6         6
  4616  2564       6         6
  5472   135       6         6
  1278   813       6         5
  1334   143       6         5
  2694   866       6         5
  4617  2564       6         5
  5359  2239       6         5
  5608  3935       6         5
  2695   866       6         4
  5360  1770       6         4
  5635  1489       6         4
  5776  4198       6         4
  5484   243       6         3
  5794  4225       6         3
  5811  4407       6         3
  2799   430       6         2
  4494  1582       6         2
  5222   104       6         2
  5323   106       6         2
  5447   158       6         2
    20   314       7        63
    21   236       7        63
    30   513       7        63
    34   436       7        63
    54   516       7        63
    63  1094       7        63
    92  3822       7        63
   328   212       7        39
   823  4150       7        39
   847  4209       7        39
   566   176       7        38
   614   211       7        38
   907  4150       7        38
   909  4150       7        37
   715   694       7        36
   910  4150       7        36
   912  4150       7        35
   913  4150       7        34
  1291   151       7        34
  1398   694       7        34
  1609   344       7        34
   915  4150       7        33
  1349   618       7        33
  2000   199       7        33
  2007   407       7        33
   917  4150       7        32
  2003   213       7        32
  2074   290       7        32
  2102   361       7        32
   919  4150       7        31
  2125   243       7        31
  2146  4953       7        31
  2206   180       7        31
   726   883       7        30
   920  4150       7        30
  2229   713       7        30
  2308   442       7        30
  2331   199       7        30
  2266  4953       7        29
  1593  1225       7        28
  2523   233       7        28
  2388   188       7        27
  2713   344       7        26
  2719   180       7        26
  2661   215       7        25
  2400   582       7        24
  2861   244       7        24
  2410   606       7        23
