196
7/8,13/24
7/8,11/24
19/24,3/8
17/24,7/24
5/8,5/24
13/24,1/8
7/24,3/8
5/24,11/24
3/8,7/24
11/24,5/24
5/24,13/24
7/24,5/8
3/8,17/24
11/24,19/24
13/24,19/24
5/8,17/24
17/24,5/8
19/24,13/24
19/24,11/24
17/24,3/8
5/8,7/24
13/24,5/24
7/24,11/24
3/8,3/8
11/24,7/24
7/24,13/24
3/8,5/8
11/24,17/24
13/24,17/24
5/8,5/8
17/24,13/24
17/24,11/24
5/8,3/8
13/24,7/24
3/8,11/24
11/24,3/8
3/8,13/24
11/24,5/8
13/24,5/8
5/8,13/24
5/8,11/24
13/24,3/8
11/24,11/24
11/24,13/24
13/24,13/24
13/24,11/24
169
4 0 1 2 3
4 4 5 6 7
4 8 9 10 11
4 12 13 14 15
4 1 16 17 2
4 18 19 3 2
4 20 4 7 21
4 6 22 23 7
4 24 8 11 25
4 10 26 27 11
4 28 12 15 29
4 14 30 31 15
4 16 32 33 17
4 34 18 2 17
4 35 36 19 18
4 37 20 21 38
4 23 39 21 7
4 22 40 41 23
4 42 24 25 43
4 27 44 25 11
4 26 45 46 27
4 47 28 29 48
4 31 49 29 15
4 30 50 51 31
4 33 52 34 17
4 32 53 54 33
4 55 35 18 34
4 56 57 36 35
4 58 37 38 59
4 21 39 60 38
4 41 61 39 23
4 40 62 63 41
4 64 42 43 65
4 25 44 66 43
4 46 67 44 27
4 45 68 69 46
4 70 47 48 71
4 29 49 72 48
4 51 73 49 31
4 50 74 75 51
4 54 76 52 33
4 77 55 34 52
4 53 78 79 54
4 80 56 35 55
4 81 82 57 56
4 83 58 59 84
4 38 60 85 59
4 61 86 60 39
4 63 87 61 41
4 62 88 89 63
4 90 64 65 91
4 43 66 92 65
4 67 93 66 44
4 69 94 67 46
4 68 95 96 69
4 97 70 71 98
4 48 72 99 71
4 73 100 72 49
4 75 101 73 51
4 74 102 103 75
4 76 104 77 52
4 79 105 76 54
4 106 80 55 77
4 78 107 108 79
4 109 81 56 80
4 110 111 82 81
4 112 83 84 113
4 59 85 114 84
4 60 86 115 85
4 87 116 86 61
4 89 117 87 63
4 88 118 119 89
4 120 90 91 121
4 65 92 122 91
4 66 93 123 92
4 94 124 93 67
4 96 125 94 69
4 95 126 127 96
4 128 97 98 129
4 71 99 130 98
4 72 100 131 99
4 101 132 100 73
4 103 133 101 75
4 102 134 135 103
4 105 136 104 76
4 137 106 77 104
4 108 138 105 79
4 139 109 80 106
4 107 112 113 108
4 140 110 81 109
4 84 114 141 113
4 85 115 142 114
4 116 143 115 86
4 117 144 116 87
4 119 145 117 89
4 118 120 121 119
4 91 122 146 121
4 92 123 147 122
4 124 148 123 93
4 125 149 124 94
4 127 150 125 96
4 126 128 129 127
4 98 130 151 129
4 99 131 152 130
4 132 153 131 100
4 133 154 132 101
4 135 155 133 103
4 134 111 110 135
4 136 156 137 104
4 138 157 136 105
4 158 139 106 137
4 113 141 138 108
4 159 140 109 139
4 114 142 160 141
4 115 143 161 142
4 144 162 143 116
4 145 163 144 117
4 121 146 145 119
4 122 147 164 146
4 123 148 165 147
4 149 166 148 124
4 150 167 149 125
4 129 151 150 127
4 130 152 168 151
4 131 153 169 152
4 154 170 153 132
4 155 171 154 133
4 110 140 155 135
4 157 172 156 136
4 173 158 137 156
4 141 160 157 138
4 174 159 139 158
4 142 161 175 160
4 162 176 161 143
4 163 177 162 144
4 146 164 163 145
4 147 165 178 164
4 166 179 165 148
4 167 180 166 149
4 151 168 167 150
4 152 169 181 168
4 170 182 169 153
4 171 183 170 154
4 140 159 171 155
4 172 184 173 156
4 160 175 172 157
4 185 174 158 173
4 161 176 186 175
4 177 187 176 162
4 164 178 177 163
4 165 179 188 178
4 180 189 179 166
4 168 181 180 167
4 169 182 190 181
4 183 191 182 170
4 159 174 183 171
4 175 186 184 172
4 192 185 173 184
4 187 193 186 176
4 178 188 187 177
4 189 194 188 179
4 181 190 189 180
4 191 195 190 182
4 174 185 191 183
4 186 193 192 184
4 188 194 193 187
4 190 195 194 189
4 185 192 195 191
4 192 193 194 195
1/24,1/24
1/24,1/12
1/12,1/12
1/12,1/24
1/24,0
1/24,1/24
1/12,1/24
1/12,0
0,1/24
1/24,1/24
1/24,0
0,0
1/24,1/12
1/24,1/24
0,1/24
0,1/12
1/24,0
1/12,0
0,1/12
0,1/24
1/24,1/12
1/12,1/12
0,1/24
0,0
1/12,1/24
1/12,0
1/24,1/12
0,1/12
1/24,0
0,0
1/12,1/24
1/12,1/12
1/24,1/12
1/12,1/12
0,0
1/12,1/12
1/12,1/24
1/24,0
1/12,0
0,1/12
1/12,1/24
1/12,0
0,1/24
0,0
1/12,1/12
1/24,0
0,0
1/24,1/12
0,1/12
1/12,0
0,1/24
0,1/12
0,1/12
1/24,0
1/12,0
1/12,0
0,1/12
0,1/24
1/24,1/12
1/12,1/12
0,0
1/12,1/12
0,1/24
0,0
1/12,1/24
1/12,0
0,1/12
1/12,0
1/24,1/12
0,1/12
1/24,0
0,0
1/12,1/12
0,0
1/12,1/24
1/12,1/12
0,0
1/12,1/12
1/24,1/12
1/12,1/12
0,0
1/12,1/12
1/12,1/24
1/24,0
1/12,0
0,1/12
1/12,0
0,1/12
1/12,1/24
1/12,0
0,1/24
0,0
1/12,1/12
0,0
1/12,1/12
1/24,0
0,0
1/24,1/12
0,1/12
1/12,0
0,1/12
1/12,0
0,1/24
0,1/12
1/12,0
0,1/12
0,1/12
1/24,0
1/12,0
1/12,0
0,1/12
0,1/24
1/24,1/12
1/12,1/12
0,0
1/12,1/12
0,0
1/12,1/12
0,1/24
0,0
1/12,1/24
1/12,0
0,1/12
1/12,0
0,1/12
1/12,0
1/24,1/12
0,1/12
1/24,0
0,0
1/12,1/12
0,0
1/12,1/12
0,0
1/12,1/24
1/12,1/12
1/12,1/12
0,0
0,0
1/12,1/12
0,0
0,1/12
1/12,0
0,1/12
1/12,0
0,1/12
1/12,1/12
0,0
1/12,1/12
0,0
1/12,1/12
1/12,0
0,1/12
1/12,0
0,1/12
1/12,0
0,1/12
1/12,0
1/12,0
0,1/12
1/12,1/12
0,0
1/12,1/12
0,0
1/12,0
0,1/12
1/12,0
0,1/12
0,0
1/12,1/12
0,0
1/12,1/12
0,0
1/12,1/12
0,0
0,1/12
1/12,0
0,1/12
1/12,1/12
0,0
1/12,1/12
1/12,0
0,1/12
1/12,0
1/12,0
0,1/12
1/12,1/12
0,0
1/12,0
0,1/12
0,0
1/12,1/12
0,0
0,1/12
1/12,1/12
1/12,0
